Well1,Well2,StartMonth,EndMonth,Duration,MeanWell1,StdWell1,MinWell1,MaxWell1,MeanWell2,StdWell2,MinWell2,MaxWell2,PearsonCorr
21N02E26E005M,09N03E08C004M,1992-06,2021-09,352,106.85413271562501,2.8691414359008003,90.76,119.554,-0.5292292968863638,17.319818899738365,-85.974,18.618,0.32305875105100174
21N02E26E005M,09N03E08C003M,1992-06,2021-09,352,106.85413271562501,2.8691414359008003,90.76,119.554,1.8402924471249997,19.41288717093097,-76.498,22.835,0.31589457440263313
21N02E26E005M,09N03E08C001M,1992-06,2021-09,352,106.85413271562501,2.8691414359008003,90.76,119.554,20.387530852073862,1.6860078293411729,11.732,24.656,0.1857312327115886
21N02E26E005M,09N03E08C002M,1992-06,2021-09,352,106.85413271562501,2.8691414359008003,90.76,119.554,19.333448246562497,2.2693093782605653,11.352,24.441,0.328048764053375
21N02E26E005M,11N04E04N002M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,16.191391048244714,5.850456681527642,-9.735,26.448,0.40952513798805323
21N02E26E005M,24N02W03B001M,1999-06,2021-09,268,106.64381610410449,3.2571260493807013,90.76,119.554,191.52475874776118,3.158650754946062,183.333,198.614,0.17248992186623324
21N02E26E005M,11N01E24Q006M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,-17.922779934815708,39.82156496829628,-118.938,35.195,0.2194619795100832
21N02E26E005M,11N01E24Q007M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,-7.591602886972808,33.35766143893964,-82.022,37.595,0.21717173672643264
21N02E26E005M,11N01E24Q005M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,-13.031875063836855,31.52459986612958,-87.398,32.557,0.2505184581758934
21N02E26E005M,24N02W01L002M,1999-12,2021-09,262,106.63605235076335,3.2939398366063157,90.76,119.554,213.42603001221374,3.140656626022591,204.504,218.91,-0.04047655196875072
21N02E26E005M,24N01W06J002M,1999-09,2021-09,265,106.63977251283018,3.2753561888142992,90.76,119.554,216.11048199396228,3.6368955619171275,204.0,221.919,-0.04731036924010501
21N02E26E005M,11N04E04N004M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,18.798521955770394,3.44543429074355,8.787,29.518,0.3857593683763263
21N02E26E005M,11N01E24Q004M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,-3.7645482482567982,19.300291943164975,-56.187,33.041,0.2330874269432549
21N02E26E005M,24N01W05J003M,1999-12,2021-09,262,106.63605235076335,3.2939398366063157,90.76,119.554,222.42776173625955,3.9709590099530865,212.099,229.035,-0.09343362285247621
21N02E26E005M,11N04E04N001M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,3.497617558598187,6.600300578007697,-19.509,14.969,0.2711266828703517
21N02E26E005M,11N04E04N003M,1994-03,2021-09,331,106.78747044078548,2.946314954247619,90.76,119.554,18.638461933939578,4.005963943400697,4.814,28.84,0.4021011359996315
21N02E26E005M,24N01W05J004M,1999-12,2021-09,262,106.63605235076335,3.2939398366063157,90.76,119.554,219.07902918206108,4.4366448939415,203.934,226.52,-0.05565126098635869
21N02E26E005M,20N02E24C003M,2000-03,2021-07,257,106.67234519805449,3.267958549896342,90.76,119.554,110.61232012968871,8.531347111211087,87.579,127.756,0.07399021199675186
21N02E26E005M,20N02W33B001M,2001-12,2021-09,238,106.61936015084034,3.4561566323156048,90.76,119.554,100.18026687512605,2.0341758933146665,92.715,104.035,-0.030973518102029647
21N02E26E005M,21N02W33M001M,2002-09,2021-09,229,106.62001185982531,3.523703062711569,90.76,119.554,103.2395059972489,11.90893879308217,61.566,123.021,0.0785827034735953
21N02E26E005M,25N01W34N003M,1999-12,2021-07,260,106.67529506115385,3.2490923550859945,90.76,119.554,217.0117757426923,3.3474565824712084,209.928,222.307,-0.21205899773925735
21N02E26E005M,20N01E18L001M,2000-06,2021-09,256,106.62963170273439,3.3321941134632467,90.76,119.554,101.29675856246092,4.670551868992124,81.549,111.298,0.2693426608685731
21N02E26E005M,24N01W05Q003M,1999-09,2021-09,265,106.63977251283018,3.2753561888142992,90.76,119.554,217.5356105275472,4.016544715076896,206.0022322,224.022,-0.05180417974291017
21N02E26E005M,20N02W11A003M,2001-12,2021-09,238,106.61936015084034,3.4561566323156048,90.76,119.554,103.59854784710083,4.912742870633274,83.805,116.289,0.27506111979432707
21N02E26E005M,24N02W12P001M,2001-12,2021-09,238,106.61936015084034,3.4561566323156048,90.76,119.554,196.58457220504204,3.174152911475896,187.095,203.127,0.04203081380116317
21N02E26E005M,20N02E24C001M,2000-03,2021-07,257,106.67234519805449,3.267958549896342,90.76,119.554,110.27381296607005,8.628481003429144,88.031,128.06,0.09074427420274042
21N02E26E005M,25N01W34N002M,1999-12,2021-09,262,106.63605235076335,3.2939398366063157,90.76,119.554,231.65916099885496,3.4076352215738708,224.556,236.904,-0.158599706033495
21N02E26E005M,24N01W05Q004M,1999-09,2021-09,265,106.63977251283018,3.2753561888142992,90.76,119.554,214.8019779535849,3.7809992546959332,204.576,220.559,-0.09108177579328788
21N02E26E005M,20N02W25F001M,2002-09,2021-09,229,106.62001185982531,3.523703062711569,90.76,119.554,99.1769944842358,4.460472627390816,83.718,105.403,-0.027744173325099174
